en	zh
Setup steps:\n\n1. Open xtoys.app in a browser and sign in\n2. Scripts → search “VisualStimEdger” → Load Script\n3. Connections → add your toy under Generic Output\n4. Go to xtoys.app/me → Private Webhook\n5. Copy the Webhook ID → paste it into VSE\n6. Press the green ▶ to RUN the script — nothing moves until you do\n7. Keep the xToys tab open while you use VSE	设置步骤:\n\n1. 在浏览器中打开 xtoys.app 并登录\n2. Scripts(脚本) → 搜索 “VisualStimEdger” → Load Script(加载脚本)\n3. Connections(连接) → 把你的玩具添加为 Generic Output\n4. 打开 xtoys.app/me → 获得Private Webhook\n5. 复制 Webhook ID → 粘贴到 VSE 里\n6. 点击绿色 ▶ 运行脚本 — 不点你的牛牛就不会动\n7. 使用 VSE 期间保持 xToys 标签页打开
Sir Thorn's Private Sessions Vol. 2 — 21 MP3 tracks made for edging. Load them straight into this player. Opens Ko-fi.	Thorn 先生的 Private Sessions Vol. 2 — 21 首为 edging 打造的 MP3 音轨,直接丢进这个播放器就能用. 打开 Ko-fi.
Sir Thorn's Sunday Drive sessions as JSON stim patterns — free / pay-what-you-want. Made for electro over your audio output. Opens Ko-fi.	Thorn 先生的 Sunday Drive 会话 — JSON 刺激模式,完全免费 / 刷点小米. 专为使用音频输出的电流刺激打造.打开 Ko-fi.
Skip voice verification	跳过语音验证
Start Bondage Mode →	开启束缚模式 →
State: --  |  Vol: --  |  WS: Disconnected	状态: --  |  输出强度: --  |  WS: 已断开
State: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}	状态: {}  |  输出强度: {}  |  {}  |  {}  |  {} 帧  |  {}
Step 1 — Draw a box around your video feed, then release to lock.  [Esc to cancel]	第 1 步 — 在视频画面上画一个框,松开即锁定.  [按 Esc 取消l]
Step 2: Select Cock Head	第 2 步: 选择龟头
Stepped back — say a number or 'back' again	上一步 — 再说个数字或者说声 'back' 
Stop YOLO from re-anchoring the tracker. Draw your box on a stable, high-contrast spot (a plug/electrode is ideal) and it stays put. Turn off to let auto-reacquire find the head again.	阻止 YOLO 重新锚定跟踪器.请把框选在阴茎的一个稳定、对比度高的位置(插头/电极就很理想)，它就会固定住不动.关掉它，可以让自动重新获取龟头位置.
T-code Axis	T-code 轴
Theme: {}	主题: {}
Time's up. Back to edging.	时间到，继续边缘控制
Too slow!	太慢了!
TRACKING LOST - Frozen at last position	跟丢了 - 冻结在最后位置
TRACKING SUSPECT ({}) - Frozen	跟踪存疑 ({}) - 已冻结
Update available: v{}	有可用更新: v{}
VisualStimEdger	VisualStimEdger 可视化边缘控制工具
VOL\nRANGE	输出强度\n范围
Vol: {}	输出强度: {}
Vol: —	输出强度: —
v{}  ·  edge smarter	v{}  ·  让边缘控制更聪明
Wait {}s...	等待 {}秒...
Webhook ID:	Webhook ID:
When enabled, VSE automatically rolls for cum permission each time an edge is detected. 'Min edges' sets how many edges must occur first. '1 in N' is the per-edge roll chance (lower N = more likely). Uses the same grant window as a manual roll.	启用后，每当检测到一次高潮边缘，VSE 都会自动掷骰子决定是否放行。'最小边缘次数'决定了要先攒够多少次边缘才开始掷骰子。'1 / N' 是每次边缘的掷骰概率（N 越小越容易中）。放行窗口与手动掷骰一致。
Which T-code axis VSE sends volume commands on. This must match the axis your Restim session has bound to the parameter you want to control (usually 'Volume'). Check Restim's Websocket / T-code panel if you're unsure.	VSE 通过哪条 T-code 轴发送输出强度命令.这条轴必须与你的 Restim 会话中、绑定到你想控制参数（通常是 'Volume'）的那条轴一致。拿不准的话，去 Restim 的 Websocket / T-code 面板确认.
WS: {}	WS: {}
xToys	xToys
xToys reached the cloud but the block didn't answer — press ▶ to run the VisualStimEdger block in your xToys tab (reload it if it's an old copy, or re-check your Webhook ID).	xToys 已连通云端,但脚本块未应答 — 请在 xToys 标签页里按 ▶ 运行 VisualStimEdger 脚本块(如果是旧副本就重新加载，或重新检查 Webhook ID).
xToys Setup	xToys 配置
xToys: block STOPPED?	xToys: 模块已停用?
xToys: Live	xToys: 在线
xToys: Live ({})	xToys: 在线 ({})
xToys: No ID	xToys: 没有 ID
xToys: Offline	xToys: 已掉线
xToys: paste your Webhook ID from xtoys.app/me → Private Webhook (or tap Get ID).	粘贴你的 Webhook ID：前往 xtoys.app/me → Private Webhook（私有 Webhook）复制，或点 Get ID 获取。
You've been a good boy. {}:{} remaining.	你很乖. 还剩 {}:{}.
You've been a good boy.{} You have {} min.	你很乖.{} 你还剩 {} 分钟.
You've been edging {}+ times, hands-free.	你已经边缘控制了 {}+ 次, 在免提模式下.
Zoom in first — say a number!	先放大 — 说个数字!
{} bpm	{} bpm
{} edges	{} 次边缘
{} px	{} 像素
{}px	{}像素
← Back	← 返回
↩ Undo (3s)	↩ 撤销 (3s)
⏳ Cum window: {}s remaining — say 'came' or click Cancel	⏳ 射精窗口: 剩余{}s  — 说声 'came' 或点击取消
▶ Play	▶ 启动
▶ RESUME SESSION	▶ 恢复会话
☕ Tribute	☕ 打赏
♥ -- bpm	♥ -- bpm
♥ No HR	♥ 没有心率数据
♥ {} bpm	♥ {} bpm
⚡ Free stim patterns ↗	⚡免费刺激模式 ↗
⚡ P.O.N.R.	⚡ 临界点.
⚡ Point of No Return — cut	⚡ 临界点 — 切断
✓  HIT!	✓  命中!
✓ Safeword verified!	✓ 安全词已验证!
✕ Cancel	✕ 取消
✕ Clear	✕ 清除
+ Exclusion Zone	
🍆  Grid Navigator Practice	🍆 网格导航器练习
🍆 Grid Practice	🍆 网格练习
🎉 Nice shot!	🎉 漂亮一击!
🎙 BONDAGE	🎙 束缚
🎙 Bondage active — safeword: "{}"	🎙 束缚已激活 — 安全词: "{}"
🎙 Bondage Mode Defaults	🎙 束缚模式默认设置
🎙 Bondage Mode Setup	🎙 束缚模式设置
🎙 Bondage Mode — Setup	🎙 束缚模式 — 设置
🎙 Confirm failed — feed gone?	🎙 确认失败 — 数据流中断?
🎙 Exclude zone — say 1-9 to zoom, 'exclude'/'here' to add	排除区域——说 1-9 缩放，喊 "exclude"/"here" 添加
🎙 Exclusion zone added ({} total) — say 'clear exclude' to remove all	🎙 已添加排除区域 (共 {} 个) — 说 'clear exclude' 清除全部
🎙 Exclusion zones cleared	🎙 排除区域已清除
🎙 Grid cancelled	🎙 网格已取消
🎙 Grid cell {} (zoom {}) — say 'here' to lock, or zoom more	🎙 网格单元 {} (缩放 {}) — 喊 'here' 锁定, 或继续缩放
🎙 Grid reset — say 1-9 to zoom	🎙 网格已重置 — 说 1-9 缩放
🎙 Grid — say 1-9 to zoom, 'here' to lock	🎙 网格 — 说 1-9 缩放, 说 'here' 锁定
🎙 Head reselected ✓	🎙 龟头重新选择完毕 ✓
🎙 Lines set — adjust with voice	🎙 线条已设置 — 用语音调整
🎙 MIC	🎙 麦克风
🎙 No windows found	🎙 未找到窗口
🎙 Paused (say 'resume')	🎙 暂停(说'resume')
🎙 Session resumed	🎙 会话已恢复
🎙 Source switch cancelled	🎙 源切换已取消
🎙 Source switch failed	🎙 源切换失败
🎙 Source → {}… — say 'find head' to reanchor	🎙 源 → {}… — 说 'find head' 重新锚定
🎙 Switch Source	🎙 切换源
🎙 Voice Commands	🎙 语音命令
🎙 {} {}  ({}px)	🎙 {} {}  ({}像素)
🎧 21 tracks to edge to ↗	🎧 21首边控曲目 ↗
👿 VisualStimEdger [EVIL MODE]	👿 可视化边缘控制工具 [恶魔模式]
💡 Press AUTO to calibrate height lines	💡 按 AUTO 校准高度线
📁 Load File	📁 加载文件
📂 Load Folder	📂 加载文件夹
📷 AUTO	📷 自动
📷 AUTO  (flaccid set, need more range)	📷 自动（疲软区已设定，需更大范围）
📷 AUTO  (observing...)	📷 自动  (观察中...)
📷 AUTO  (off)	📷 自动  (关闭)
📷 AUTO  ✓	📷 自动  ✓
🔁 Active Edging (auto-ramp)	🔁 主动边缘控制（自动递增）
🔁 Active Edging off	🔁 主动边缘控制关闭
🔁 Active Edging on — ramps up after {}s off the edge ({})	🔁 主动边缘已开启 — ramps up after {}s off the edge ({})
🔒 Lock on target (no auto-reanchor)	🔒 锁定目标（不自动重新锚定）
🔒 Locked on target — won't auto-reanchor	🔒 已锁定目标 — 不自动重新锚定
🔓 Auto-reanchor back on	🔓 自动重新锚定已重新开启
😈 Ruin Odds (% chance when denied, Evil Mode only)	😈  破坏高潮的概率（被拒绝时的 % 概率，仅限 恶魔模式）
😈 tribute your dom before you're allowed → ☕	😈 获得允许前，先打赏你的 Dom → ☕
🛑 SAFEWORD	🛑 安全词
🛑 SAFEWORD — say "resume session" or click ▶ RESUME	🛑 安全词 — 说 "resume session" 或点击 ▶ 恢复
Language	语言
＋ Exclusion Zone	＋ 排除区域
Edging	边缘
Erect	勃起
Flaccid	疲软
Performance	性能
Tracking engine	追踪引擎
Tracking resolution	追踪分辨率
Lock by look (experimental)	按外观锁定（实验性）
Classic = the proven tracker (default). Deep = an experimental neural tracker — more robust in clean tests, but it can balloon its box on smooth targets; still being validated. Stick with Classic for now.	Classic = 经过验证的追踪器（默认）. Deep = 实验性的神经网络追踪器 — 在干净的测试中更稳健,但在平滑目标上可能会撑大它的框; 仍在验证中. 目前建议继续使用 Classic.
Lower = faster on slow PCs. Downscales the frame before tracking, not the video you watch. If your FPS is low, try Fast or Fastest.	越低 = 在慢速电脑上越快. 只缩小送去追踪的画面,不影响你看到的视频. 如果帧率偏低,试试 Fast 或 Fastest.
Tracks by colour/darkness instead of the tracker. Only worth it with a genuinely distinct marker — a matte lime / teal / hot-pink sticker. It can't tell a red/yellow/black target from skin. Off = normal tracking.	用颜色/暗度来追踪,而不是用追踪器. 只有当标记颜色真正独特时才值得用 — 哑光的青柠/蓝绿/亮粉色贴纸. 它无法把红/黄/黑色目标和皮肤区分开. 关闭 = 正常追踪.
Easy	简单
Middle	中等
Hard	困难
Expert	专家
Recover %/s	恢复 %/秒
Hold s	保持 秒
Ramp %/s	爬升 %/秒
Settings...	设置...
About	关于
GitHub (latest release)	GitHub（最新版本）
Ko-fi (support)	Ko-fi（支持）
ceil	上限
floor	下限
Track: OK	追踪: 正常
Track: LOST	追踪: 丢失
Disconnected	已断开
Deep	深度
Classic	经典
Full	完整
Balanced	均衡
Fast	快速
Fastest	最快
⊞🔊 windows	⊞🔊 Windows 音频
♥ HR	♥ 心率
Erect (Needs Calibration)	勃起（需要校准）
Open your camera feed	打开你的摄像头画面
Keep it visible and not minimised	保持它可见,不要最小化
You'll mark the tip of your cock	你需要标记龟头顶端
Calibrate Flaccid / Erect / Edging heights	校准 疲软 / 勃起 / 边缘 的高度
OBS, webcam app, browser stream — anything showing your cock in a window.\nIt does NOT need to be full-screen.	OBS、摄像头应用、浏览器画面 — 任何在窗口里显示你阴茎的东西都行.\n不需要全屏.
The app will ask you to draw a box around that window.\nBring it to the front before hitting Start.	程序会让你在那个窗口周围画一个框.\n点击开始前把它移到最前面.
Draw a small box around the head. An electrode or ring tracks\neven better than skin alone.	在龟头周围画一个小框. 电极或环\n比单纯的皮肤更容易追踪.
Do this during your session. AUTO mode can handle it for you.\nRe-calibrate any time without restarting.	在过程中做这个即可. 自动模式可以帮你搞定.\n随时都能重新校准,无需重启.
Controls volume only — does not generate e-stim signals.\nYou need Restim, xToys, electron-redrive, an .mp3, etc. already running.	只控制强度 — 不生成电刺激信号.\n你需要 Restim、xToys、electron-redrive、mp3 等已经在运行.
