en	de
OPTIONAL hard cut-off — you don't need this set. Place a yellow line above the red edging line; cross ABOVE it and volume instantly drops to your floor, so a sudden spike can't finish you before the normal ramp reacts. Leave it unset (or push it to the very top) to disable. ✕ clears it.	OPTIONALER harter Cut-off — den brauchst du nicht. Setze eine gelbe Linie über die rote Edging-Linie; überschreitest du sie nach OBEN, fällt die Lautstärke sofort auf dein Minimum, damit eine plötzliche Spitze dich nicht fertigmacht, bevor der normale Anstieg reagiert. Lass ihn ungesetzt (oder schieb ihn ganz nach oben), um ihn zu deaktivieren. ✕ löscht ihn.
Out:	Ausgang:
Output	Ausgabe
Override to 100% volume (ignore range)	Auf 100% Lautstärke erzwingen (Bereich ignorieren)
Per-difficulty tuning below. Recovery = how fast volume climbs back while you hold in the erect zone (%/sec). Hold = seconds off the edge before Active Edging ramps. Ramp = how fast it climbs to max (%/sec). Defaults get more relentless on harder levels.	Feineinstellung pro Schwierigkeit unten. Erholung = wie schnell die Lautstärke steigt, während du in der steifen Zone hältst (%/s). Halten = Sekunden weg vom Rand, bevor aktives Edging hochfährt. Anstieg = wie schnell es zum Maximum steigt (%/s). Die Standardwerte werden auf höheren Stufen unerbittlicher.
Play Mode — minimal immersive view; hides settings	Immersiver Modus — minimale, immersive Ansicht; blendet Einstellungen aus
Practice Grid →	Übungsraster →
Press after finishing — volume drops to 0 and stays there. Press again (as 'Resume') if you want to go another round.	Nach dem Fertigwerden drücken — Lautstärke fällt auf 0 und bleibt dort. Erneut drücken (als "Fortsetzen"), wenn du eine weitere Runde willst.
Pulls the Edging state-display toward Erect by N pixels so the OBS overlay lights up earlier. Affects only the State label / OBS broadcast — the volume / denial math always uses the strict calibrated line.	Zieht die Zustandsanzeige "Am Rand" um N Pixel Richtung Steif, damit das OBS-Overlay früher aufleuchtet. Betrifft nur das Zustands-Label / die OBS-Übertragung — die Lautstärke-/Verweigerungs-Berechnung nutzt immer die exakt kalibrierte Linie.
Pulsoid	Pulsoid
Pulsoid Token:	Pulsoid-Token:
pulsoid.net/ui/keys (paid plan required)	pulsoid.net/ui/keys (kostenpflichtiger Plan nötig)
Re-Select Feed	Bild neu wählen
Re-Select Head	Kopf neu wählen
Recover volume when held in the erect zone	Lautstärke erholen, wenn in der steifen Zone gehalten
Refractory Period	Refraktärzeit
Refractory: {}:00	Refraktär: {}:00
Refractory: {}:00\n(click to skip)	Refraktär: {}:00\n(zum Überspringen klicken)
Refractory: {}:{}\n(click to skip)	Refraktär: {}:{}\n(zum Überspringen klicken)
Refresh	Aktualisieren
Remove all exclusion zones	Alle Ausschlusszonen entfernen
Reset Defaults	Standard wiederherstellen
Reset — navigate to the 🌿 stem!	Zurücksetzen — navigiere zum 🌿 Stiel!
Respect volume ceiling (stay within range)	Lautstärke-Maximum respektieren (im Bereich bleiben)
Restim	Restim
Restim disconnected — enable its WebSocket server and check the port matches.	Restim getrennt — aktiviere seinen WebSocket-Server und prüfe, ob der Port übereinstimmt.
Restim Port:	Restim-Port:
Resume	Fortsetzen
Roll the dice — odds depend on aggressiveness. Win = temporary full volume permission	Würfle — die Chancen hängen von der Aggressivität ab. Gewinn = vorübergehende volle Lautstärke-Erlaubnis
Ruin Phrases (one per line)	Ruin-Sätze (einer pro Zeile)
RUINED 😈	RUINIERT 😈
Safeword:	Safeword:
Sample Text Abc 123	Beispieltext Abc 123
Say a number, or "cancel"	Sag eine Zahl, oder "cancel"
Scanning for BLE HR monitors…	Suche nach BLE-HF-Monitoren…
Scan…	Scannen…
Score: 0	Punkte: 0
Score: {}	Punkte: {}
Select audio file	Audiodatei auswählen
Select music folder	Musikordner auswählen
Session: 00:00  |  Edges: 0	Sitzung: 00:00  |  Edges: 0
Session: {}:{}  |  Edges: {}  |  Edging {}%  Erect {}%  Flaccid {}%	Sitzung: {}:{}  |  Edges: {}  |  Am Rand {}%  Steif {}%  Schlaff {}%
Settings	Einstellungen
Setup steps:\n\n1. Open xtoys.app in a browser and sign in\n2. Scripts → search “VisualStimEdger” → Load Script\n3. Connections → add your toy under Generic Output\n4. Go to xtoys.app/me → Private Webhook\n5. Copy the Webhook ID → paste it into VSE\n6. Press the green ▶ to RUN the script — nothing moves until you do\n7. Keep the xToys tab open while you use VSE	Einrichtungsschritte:\n\n1. Öffne xtoys.app im Browser und melde dich an\n2. Scripts → suche "VisualStimEdger" → Load Script\n3. Connections → füge dein Spielzeug unter Generic Output hinzu\n4. Gehe zu xtoys.app/me → Private Webhook\n5. Kopiere die Webhook-ID → füge sie in VSE ein\n6. Drücke den grünen ▶, um das Script AUSZUFÜHREN — nichts bewegt sich, bis du es tust\n7. Lass den xToys-Tab offen, während du VSE nutzt
Sir Thorn's Private Sessions Vol. 2 — 21 MP3 tracks made for edging. Load them straight into this player. Opens Ko-fi.	Sir Thorns Private Sessions Vol. 2 — 21 MP3-Tracks fürs Edging gemacht. Lade sie direkt in diesen Player. Öffnet Ko-fi.
Sir Thorn's Sunday Drive sessions as JSON stim patterns — free / pay-what-you-want. Made for electro over your audio output. Opens Ko-fi.	Sir Thorns Sunday-Drive-Sessions als JSON-Stim-Muster — kostenlos / zahl-was-du-willst. Für Electro über deinen Audioausgang gemacht. Öffnet Ko-fi.
Skip voice verification	Sprachverifizierung überspringen
Start Bondage Mode →	Bondage-Modus starten →
State: --  |  Vol: --  |  WS: Disconnected	Zustand: --  |  Lautst.: --  |  WS: Getrennt
State: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}	Zustand: {}  |  Lautst.: {}  |  {}  |  {}  |  {} fps  |  {}
Step 1 — Draw a box around your video feed, then release to lock.  [Esc to cancel]	Schritt 1 — Zeichne einen Rahmen um dein Videobild und lass los zum Fixieren.  [Esc zum Abbrechen]
Step 2: Select Cock Head	Schritt 2: Eichel auswählen
Stepped back — say a number or 'back' again	Einen Schritt zurück — sag eine Zahl oder nochmal "back"
Stop YOLO from re-anchoring the tracker. Draw your box on a stable, high-contrast spot (a plug/electrode is ideal) and it stays put. Turn off to let auto-reacquire find the head again.	Hindert YOLO daran, das Tracking neu zu verankern. Zeichne deinen Rahmen auf eine stabile, kontrastreiche Stelle (ein Plug/eine Elektrode ist ideal) und er bleibt fix. Ausschalten, damit die automatische Neuerfassung den Kopf wiederfindet.
T-code Axis	T-code-Achse
Theme: {}	Theme: {}
Time's up. Back to edging.	Zeit ist um. Zurück zum Edging.
Too slow!	Zu langsam!
TRACKING LOST - Frozen at last position	TRACKING VERLOREN - Eingefroren an letzter Position
TRACKING SUSPECT ({}) - Frozen	TRACKING UNSICHER ({}) - Eingefroren
Update available: v{}	Update verfügbar: v{}
VisualStimEdger	VisualStimEdger
VOL\nRANGE	LAUTST.\nBEREICH
Vol: {}	Lautst.: {}
Vol: —	Lautst.: —
v{}  ·  edge smarter	v{}  ·  klüger edgen
Wait {}s...	Warte {}s...
Webhook ID:	Webhook-ID:
When enabled, VSE automatically rolls for cum permission each time an edge is detected. 'Min edges' sets how many edges must occur first. '1 in N' is the per-edge roll chance (lower N = more likely). Uses the same grant window as a manual roll.	Wenn aktiviert, würfelt VSE bei jedem erkannten Edge automatisch um die Komm-Erlaubnis. "Min. Edges" legt fest, wie viele Edges zuerst passieren müssen. "1 zu N" ist die Chance pro Edge (kleineres N = wahrscheinlicher). Nutzt dasselbe Freigabe-Fenster wie ein manueller Wurf.
Which T-code axis VSE sends volume commands on. This must match the axis your Restim session has bound to the parameter you want to control (usually 'Volume'). Check Restim's Websocket / T-code panel if you're unsure.	Auf welcher T-code-Achse VSE die Lautstärke-Befehle sendet. Sie muss mit der Achse übereinstimmen, die deine Restim-Sitzung dem Parameter zugewiesen hat, den du steuern willst (meist "Volume"). Schau im Websocket-/T-code-Panel von Restim nach, wenn du unsicher bist.
WS: {}	WS: {}
xToys	xToys
xToys reached the cloud but the block didn't answer — press ▶ to run the VisualStimEdger block in your xToys tab (reload it if it's an old copy, or re-check your Webhook ID).	xToys hat die Cloud erreicht, aber der Block hat nicht geantwortet — drücke ▶, um den VisualStimEdger-Block in deinem xToys-Tab auszuführen (lade ihn neu, falls es eine alte Kopie ist, oder prüfe deine Webhook-ID erneut).
xToys Setup	xToys-Einrichtung
xToys: block STOPPED?	xToys: Block GESTOPPT?
xToys: Live	xToys: Live
xToys: Live ({})	xToys: Live ({})
xToys: No ID	xToys: Keine ID
xToys: Offline	xToys: Offline
xToys: paste your Webhook ID from xtoys.app/me → Private Webhook (or tap Get ID).	xToys: füge deine Webhook-ID von xtoys.app/me → Private Webhook ein (oder tippe auf "Get ID").
You've been a good boy. {}:{} remaining.	Du warst ein braver Junge. Noch {}:{}.
You've been a good boy.{} You have {} min.	Du warst ein braver Junge.{} Du hast {} Min.
You've been edging {}+ times, hands-free.	Du edgst schon {}+ Mal, freihändig.
Zoom in first — say a number!	Erst heranzoomen — sag eine Zahl!
{} bpm	{} bpm
{} edges	{} Edges
{} px	{} px
{}px	{}px
← Back	← Zurück
↩ Undo (3s)	↩ Rückgängig (3s)
⏳ Cum window: {}s remaining — say 'came' or click Cancel	⏳ Komm-Fenster: noch {}s — sag "came" oder klicke Abbrechen
▶ Play	▶ Abspielen
▶ RESUME SESSION	▶ SITZUNG FORTSETZEN
☕ Tribute	☕ Tribut
♥ -- bpm	♥ -- bpm
♥ No HR	♥ Keine HF
♥ {} bpm	♥ {} bpm
⚡ Free stim patterns ↗	⚡ Kostenlose Stim-Muster ↗
⚡ P.O.N.R.	⚡ P.O.N.R.
⚡ Point of No Return — cut	⚡ Point of No Return — Schnitt
✓  HIT!	✓  TREFFER!
✓ Safeword verified!	✓ Safeword bestätigt!
✕ Cancel	✕ Abbrechen
✕ Clear	✕ Löschen
＋ Exclusion Zone	＋ Ausschlusszone
🍆  Grid Navigator Practice	🍆  Raster-Navigator Übung
🍆 Grid Practice	🍆 Raster-Übung
🎉 Nice shot!	🎉 Guter Schuss!
🎙 BONDAGE	🎙 BONDAGE
🎙 Bondage active — safeword: "{}"	🎙 Bondage aktiv — Safeword: "{}"
🎙 Bondage Mode Defaults	🎙 Bondage-Modus Standardwerte
🎙 Bondage Mode Setup	🎙 Bondage-Modus Einrichtung
🎙 Bondage Mode — Setup	🎙 Bondage-Modus — Einrichtung
🎙 Confirm failed — feed gone?	🎙 Bestätigung fehlgeschlagen — Bild weg?
🎙 Exclude zone — say 1-9 to zoom, 'exclude'/'here' to add	🎙 Ausschlusszone — sag 1-9 zum Zoomen, "exclude"/"here" zum Hinzufügen
🎙 Exclusion zone added ({} total) — say 'clear exclude' to remove all	🎙 Ausschlusszone hinzugefügt ({} gesamt) — sag "clear exclude" zum Entfernen aller
🎙 Exclusion zones cleared	🎙 Ausschlusszonen gelöscht
🎙 Grid cancelled	🎙 Raster abgebrochen
🎙 Grid cell {} (zoom {}) — say 'here' to lock, or zoom more	🎙 Rasterzelle {} (Zoom {}) — sag "here" zum Fixieren, oder zoom weiter
🎙 Grid reset — say 1-9 to zoom	🎙 Raster zurückgesetzt — sag 1-9 zum Zoomen
🎙 Grid — say 1-9 to zoom, 'here' to lock	🎙 Raster — sag 1-9 zum Zoomen, "here" zum Fixieren
🎙 Head reselected ✓	🎙 Kopf neu gewählt ✓
🎙 Lines set — adjust with voice	🎙 Linien gesetzt — mit Stimme anpassen
🎙 MIC	🎙 MIK
🎙 No windows found	🎙 Keine Fenster gefunden
🎙 Paused (say 'resume')	🎙 Pausiert (sag "resume")
🎙 Session resumed	🎙 Sitzung fortgesetzt
🎙 Source switch cancelled	🎙 Quellenwechsel abgebrochen
🎙 Source switch failed	🎙 Quellenwechsel fehlgeschlagen
🎙 Source → {}… — say 'find head' to reanchor	🎙 Quelle → {}… — sag "find head" zum Neuverankern
🎙 Switch Source	🎙 Quelle wechseln
🎙 Voice Commands	🎙 Sprachbefehle
🎙 {} {}  ({}px)	🎙 {} {}  ({}px)
🎧 21 tracks to edge to ↗	🎧 21 Tracks zum Edgen ↗
👿 VisualStimEdger [EVIL MODE]	👿 VisualStimEdger [BÖSER MODUS]
💡 Press AUTO to calibrate height lines	💡 Drücke AUTO, um die Höhenlinien zu kalibrieren
📁 Load File	📁 Datei laden
📂 Load Folder	📂 Ordner laden
📷 AUTO	📷 AUTO
📷 AUTO  (flaccid set, need more range)	📷 AUTO  (schlaff gesetzt, mehr Bereich nötig)
📷 AUTO  (observing...)	📷 AUTO  (beobachtet...)
📷 AUTO  (off)	📷 AUTO  (aus)
📷 AUTO  ✓	📷 AUTO  ✓
🔁 Active Edging (auto-ramp)	🔁 Aktives Edging (Auto-Anstieg)
🔁 Active Edging off	🔁 Aktives Edging aus
🔁 Active Edging on — ramps up after {}s off the edge ({})	🔁 Aktives Edging an — steigt nach {}s weg vom Rand ({})
🔒 Lock on target (no auto-reanchor)	🔒 Auf Ziel fixieren (keine Auto-Neuverankerung)
🔒 Locked on target — won't auto-reanchor	🔒 Auf Ziel fixiert — verankert nicht automatisch neu
🔓 Auto-reanchor back on	🔓 Auto-Neuverankerung wieder an
😈 Ruin Odds (% chance when denied, Evil Mode only)	😈 Ruin-Chance (% bei Verweigerung, nur Böser Modus)
😈 tribute your dom before you're allowed → ☕	😈 zoll deinem Dom Tribut, bevor es dir erlaubt wird → ☕
🛑 SAFEWORD	🛑 SAFEWORD
🛑 SAFEWORD — say "resume session" or click ▶ RESUME	🛑 SAFEWORD — sag "resume session" oder klicke ▶ FORTSETZEN
About	Über
Balanced	Ausgewogen
Calibrate Flaccid / Erect / Edging heights	Höhen für Schlaff / Steif / Edging kalibrieren
Classic	Klassisch
Classic = the proven tracker (default). Deep = an experimental neural tracker — more robust in clean tests, but it can balloon its box on smooth targets; still being validated. Stick with Classic for now.	Klassisch = der bewährte Tracker (Standard). Tief = ein experimenteller neuronaler Tracker — in sauberen Tests robuster, kann aber bei glatten Zielen seinen Rahmen aufblähen; wird noch validiert. Bleib vorerst bei Klassisch.
Controls volume only — does not generate e-stim signals.\nYou need Restim, xToys, electron-redrive, an .mp3, etc. already running.	Steuert nur die Lautstärke — erzeugt keine E-Stim-Signale.\nRestim, xToys, electron-redrive, eine .mp3 usw. müssen bereits laufen.
Deep	Tief
Disconnected	Getrennt
Do this during your session. AUTO mode can handle it for you.\nRe-calibrate any time without restarting.	Mach das während deiner Session. Der AUTO-Modus kann das für dich übernehmen.\nJederzeit neu kalibrieren, ohne Neustart.
Draw a small box around the head. An electrode or ring tracks\neven better than skin alone.	Zeichne einen kleinen Rahmen um die Eichel. Eine Elektrode oder ein Ring lässt sich\nnoch besser tracken als Haut allein.
Easy	Einfach
Edging	Edging
Erect	Steif
Erect (Needs Calibration)	Steif (Kalibrierung nötig)
Expert	Experte
Fast	Schnell
Fastest	Schnellste
Flaccid	Schlaff
Full	Voll
GitHub (latest release)	GitHub (neueste Version)
Hard	Schwer
Hold s	Halten s
Keep it visible and not minimised	Halte es sichtbar und nicht minimiert
Ko-fi (support)	Ko-fi (unterstützen)
Language	Sprache
Lock by look (experimental)	Nach Aussehen fixieren (experimentell)
Lower = faster on slow PCs. Downscales the frame before tracking, not the video you watch. If your FPS is low, try Fast or Fastest.	Niedriger = schneller auf langsamen PCs. Verkleinert das Bild vor dem Tracking, nicht das Video, das du siehst. Wenn deine FPS niedrig sind, probier Schnell oder Schnellste.
Middle	Mittel
OBS, webcam app, browser stream — anything showing your cock in a window.\nIt does NOT need to be full-screen.	OBS, Webcam-App, Browser-Stream — irgendwas, das deinen Schwanz in einem Fenster zeigt.\nEs muss NICHT im Vollbild sein.
Open your camera feed	Öffne deinen Kamera-Feed
Performance	Leistung
Ramp %/s	Anstieg %/s
Recover %/s	Erholung %/s
Settings...	Einstellungen...
The app will ask you to draw a box around that window.\nBring it to the front before hitting Start.	Die App fordert dich auf, einen Rahmen um dieses Fenster zu zeichnen.\nHol es in den Vordergrund, bevor du auf Start klickst.
Track: LOST	Tracking: VERLOREN
Track: OK	Tracking: OK
Tracking engine	Tracking-Engine
Tracking resolution	Tracking-Auflösung
Tracks by colour/darkness instead of the tracker. Only worth it with a genuinely distinct marker — a matte lime / teal / hot-pink sticker. It can't tell a red/yellow/black target from skin. Off = normal tracking.	Trackt nach Farbe/Dunkelheit statt mit dem Tracker. Nur sinnvoll mit einem wirklich auffälligen Marker — ein matter Sticker in Limettengrün / Türkis / Knallpink. Es kann ein rotes/gelbes/schwarzes Ziel nicht von der Haut unterscheiden. Aus = normales Tracking.
You'll mark the tip of your cock	Du markierst die Spitze deines Schwanzes
ceil	Max
floor	Min
⊞🔊 windows	⊞🔊 Windows
♥ HR	♥ Puls
