en	es
Setup steps:\n\n1. Open xtoys.app in a browser and sign in\n2. Scripts → search “VisualStimEdger” → Load Script\n3. Connections → add your toy under Generic Output\n4. Go to xtoys.app/me → Private Webhook\n5. Copy the Webhook ID → paste it into VSE\n6. Press the green ▶ to RUN the script — nothing moves until you do\n7. Keep the xToys tab open while you use VSE	Pasos de configuración:\n\n1. Abre xtoys.app en un navegador e inicia sesión\n2. Scripts → busca "VisualStimEdger" → Load Script\n3. Connections → añade tu juguete en Generic Output\n4. Ve a xtoys.app/me → Private Webhook\n5. Copia el Webhook ID → pégalo en VSE\n6. Pulsa el ▶ verde para EJECUTAR el script — nada se mueve hasta que lo hagas\n7. Deja la pestaña de xToys abierta mientras usas VSE
Sir Thorn's Private Sessions Vol. 2 — 21 MP3 tracks made for edging. Load them straight into this player. Opens Ko-fi.	Private Sessions Vol. 2 de Sir Thorn — 21 pistas MP3 hechas para el edging. Cárgalas directamente en este reproductor. Abre Ko-fi.
Sir Thorn's Sunday Drive sessions as JSON stim patterns — free / pay-what-you-want. Made for electro over your audio output. Opens Ko-fi.	Las sesiones Sunday Drive de Sir Thorn como patrones de estimulación en JSON — gratis / paga lo que quieras. Hechas para electro por tu salida de audio. Abre Ko-fi.
Skip voice verification	Saltar la verificación por voz
Start Bondage Mode →	Iniciar Modo Bondage →
State: --  |  Vol: --  |  WS: Disconnected	Estado: --  |  Vol: --  |  WS: Desconectado
State: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}	Estado: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}
Step 1 — Draw a box around your video feed, then release to lock.  [Esc to cancel]	Paso 1 — Dibuja un recuadro alrededor de tu vídeo y suelta para fijarlo.  [Esc para cancelar]
Step 2: Select Cock Head	Paso 2: Selecciona el glande
Stepped back — say a number or 'back' again	Un paso atrás — di un número o "back" otra vez
Stop YOLO from re-anchoring the tracker. Draw your box on a stable, high-contrast spot (a plug/electrode is ideal) and it stays put. Turn off to let auto-reacquire find the head again.	Impide que YOLO vuelva a anclar el seguimiento. Dibuja tu recuadro en un punto estable y de alto contraste (un plug/electrodo es ideal) y se queda fijo. Desactívalo para dejar que el reanclaje automático encuentre la cabeza otra vez.
T-code Axis	Eje T-code
Theme: {}	Tema: {}
Time's up. Back to edging.	Se acabó el tiempo. De vuelta al borde.
Too slow!	¡Demasiado lento!
TRACKING LOST - Frozen at last position	SEGUIMIENTO PERDIDO - Congelado en la última posición
TRACKING SUSPECT ({}) - Frozen	SEGUIMIENTO DUDOSO ({}) - Congelado
Update available: v{}	Actualización disponible: v{}
VisualStimEdger	VisualStimEdger
VOL\nRANGE	RANGO\nDE VOL
Vol: {}	Vol: {}
Vol: —	Vol: —
v{}  ·  edge smarter	v{}  ·  edging más inteligente
Wait {}s...	Espera {}s...
Webhook ID:	Webhook ID:
When enabled, VSE automatically rolls for cum permission each time an edge is detected. 'Min edges' sets how many edges must occur first. '1 in N' is the per-edge roll chance (lower N = more likely). Uses the same grant window as a manual roll.	Cuando está activo, VSE tira automáticamente para dar permiso de correrse cada vez que se detecta un borde. "Bordes mín." fija cuántos bordes deben ocurrir primero. "1 entre N" es la probabilidad por borde (N más bajo = más probable). Usa la misma ventana de permiso que una tirada manual.
Which T-code axis VSE sends volume commands on. This must match the axis your Restim session has bound to the parameter you want to control (usually 'Volume'). Check Restim's Websocket / T-code panel if you're unsure.	En qué eje T-code envía VSE los comandos de volumen. Debe coincidir con el eje que tu sesión de Restim ha asignado al parámetro que quieres controlar (normalmente "Volume"). Mira el panel Websocket / T-code de Restim si no estás seguro.
WS: {}	WS: {}
xToys	xToys
xToys reached the cloud but the block didn't answer — press ▶ to run the VisualStimEdger block in your xToys tab (reload it if it's an old copy, or re-check your Webhook ID).	xToys llegó a la nube pero el bloque no respondió — pulsa ▶ para ejecutar el bloque de VisualStimEdger en tu pestaña de xToys (recárgalo si es una copia antigua, o vuelve a comprobar tu Webhook ID).
xToys Setup	Configuración de xToys
xToys: block STOPPED?	xToys: ¿bloque DETENIDO?
xToys: Live	xToys: En vivo
xToys: Live ({})	xToys: En vivo ({})
xToys: No ID	xToys: Sin ID
xToys: Offline	xToys: Desconectado
xToys: paste your Webhook ID from xtoys.app/me → Private Webhook (or tap Get ID).	xToys: pega tu Webhook ID desde xtoys.app/me → Private Webhook (o toca Get ID).
You've been a good boy. {}:{} remaining.	Has sido un buen chico. Quedan {}:{}.
You've been a good boy.{} You have {} min.	Has sido un buen chico.{} Tienes {} min.
You've been edging {}+ times, hands-free.	Llevas {}+ veces al borde, manos libres.
Zoom in first — say a number!	Primero acerca — ¡di un número!
{} bpm	{} bpm
{} edges	{} bordes
{} px	{} px
{}px	{}px
← Back	← Atrás
↩ Undo (3s)	↩ Deshacer (3s)
⏳ Cum window: {}s remaining — say 'came' or click Cancel	⏳ Ventana para correrse: quedan {}s — di "came" o pulsa Cancelar
▶ Play	▶ Reproducir
▶ RESUME SESSION	▶ REANUDAR SESIÓN
☕ Tribute	☕ Tributo
♥ -- bpm	♥ -- bpm
♥ No HR	♥ Sin FC
♥ {} bpm	♥ {} bpm
⚡ Free stim patterns ↗	⚡ Patrones de estimulación gratis ↗
⚡ P.O.N.R.	⚡ P.S.R.
⚡ Point of No Return — cut	⚡ Punto sin retorno — cortar
✓  HIT!	✓  ¡ACIERTO!
✓ Safeword verified!	✓ ¡Palabra de seguridad verificada!
✕ Cancel	✕ Cancelar
✕ Clear	✕ Borrar
＋ Exclusion Zone	＋ Zona de exclusión
🍆  Grid Navigator Practice	🍆  Práctica del navegador de cuadrícula
🍆 Grid Practice	🍆 Práctica de cuadrícula
🎉 Nice shot!	🎉 ¡Buen tiro!
🎙 BONDAGE	🎙 BONDAGE
🎙 Bondage active — safeword: "{}"	🎙 Bondage activo — palabra de seguridad: "{}"
🎙 Bondage Mode Defaults	🎙 Valores del Modo Bondage
🎙 Bondage Mode Setup	🎙 Configuración del Modo Bondage
🎙 Bondage Mode — Setup	🎙 Modo Bondage — Configuración
🎙 Confirm failed — feed gone?	🎙 Falló la confirmación — ¿se perdió la cámara?
🎙 Exclude zone — say 1-9 to zoom, 'exclude'/'here' to add	🎙 Zona de exclusión — di 1-9 para acercar, "exclude"/"here" para añadir
🎙 Exclusion zone added ({} total) — say 'clear exclude' to remove all	🎙 Zona de exclusión añadida ({} en total) — di "clear exclude" para eliminar todas
🎙 Exclusion zones cleared	🎙 Zonas de exclusión eliminadas
🎙 Grid cancelled	🎙 Cuadrícula cancelada
🎙 Grid cell {} (zoom {}) — say 'here' to lock, or zoom more	🎙 Celda {} (zoom {}) — di "here" para fijar, o acerca más
🎙 Grid reset — say 1-9 to zoom	🎙 Cuadrícula reiniciada — di 1-9 para acercar
🎙 Grid — say 1-9 to zoom, 'here' to lock	🎙 Cuadrícula — di 1-9 para acercar, "here" para fijar
🎙 Head reselected ✓	🎙 Cabeza reseleccionada ✓
🎙 Lines set — adjust with voice	🎙 Líneas fijadas — ajusta con la voz
🎙 MIC	🎙 MIC
🎙 No windows found	🎙 No se encontraron ventanas
🎙 Paused (say 'resume')	🎙 En pausa (di "resume")
🎙 Session resumed	🎙 Sesión reanudada
🎙 Source switch cancelled	🎙 Cambio de fuente cancelado
🎙 Source switch failed	🎙 Falló el cambio de fuente
🎙 Source → {}… — say 'find head' to reanchor	🎙 Fuente → {}… — di "find head" para reanclar
🎙 Switch Source	🎙 Cambiar fuente
🎙 Voice Commands	🎙 Comandos de voz
🎙 {} {}  ({}px)	🎙 {} {}  ({}px)
🎧 21 tracks to edge to ↗	🎧 21 pistas para hacer edging ↗
👿 VisualStimEdger [EVIL MODE]	👿 VisualStimEdger [MODO MALVADO]
💡 Press AUTO to calibrate height lines	💡 Pulsa AUTO para calibrar las líneas de altura
📁 Load File	📁 Cargar archivo
📂 Load Folder	📂 Cargar carpeta
📷 AUTO	📷 AUTO
📷 AUTO  (flaccid set, need more range)	📷 AUTO  (flácido fijado, falta rango)
📷 AUTO  (observing...)	📷 AUTO  (observando...)
📷 AUTO  (off)	📷 AUTO  (desactivado)
📷 AUTO  ✓	📷 AUTO  ✓
🔁 Active Edging (auto-ramp)	🔁 Edging Activo (subida automática)
🔁 Active Edging off	🔁 Edging Activo desactivado
🔁 Active Edging on — ramps up after {}s off the edge ({})	🔁 Edging Activo activado — sube tras {}s fuera del borde ({})
🔒 Lock on target (no auto-reanchor)	🔒 Fijar en el objetivo (sin reanclaje automático)
🔒 Locked on target — won't auto-reanchor	🔒 Fijado en el objetivo — no se reanclará solo
🔓 Auto-reanchor back on	🔓 Reanclaje automático reactivado
😈 Ruin Odds (% chance when denied, Evil Mode only)	😈 Probabilidad de ruina (% al ser denegado, solo Modo Malvado)
😈 tribute your dom before you're allowed → ☕	😈 ríndele tributo a tu dom antes de que se te permita → ☕
🛑 SAFEWORD	🛑 PALABRA DE SEGURIDAD
🛑 SAFEWORD — say "resume session" or click ▶ RESUME	🛑 PALABRA DE SEGURIDAD — di "resume session" o pulsa ▶ REANUDAR
About	Acerca de
Balanced	Equilibrado
Calibrate Flaccid / Erect / Edging heights	Calibra las alturas de Flácido / Erecto / Al borde
Classic	Clásico
Classic = the proven tracker (default). Deep = an experimental neural tracker — more robust in clean tests, but it can balloon its box on smooth targets; still being validated. Stick with Classic for now.	Clásico = el rastreador probado (por defecto). Profundo = un rastreador neuronal experimental — más robusto en pruebas limpias, pero puede inflar su recuadro con objetivos lisos; aún en validación. Por ahora, quédate con Clásico.
Controls volume only — does not generate e-stim signals.\nYou need Restim, xToys, electron-redrive, an .mp3, etc. already running.	Solo controla el volumen — no genera señales de electroestimulación.\nNecesitas Restim, xToys, electron-redrive, un .mp3, etc. ya en marcha.
Deep	Profundo
Disconnected	Desconectado
Do this during your session. AUTO mode can handle it for you.\nRe-calibrate any time without restarting.	Hazlo durante tu sesión. El modo AUTO puede encargarse por ti.\nRecalibra cuando quieras sin reiniciar.
Draw a small box around the head. An electrode or ring tracks\neven better than skin alone.	Dibuja un recuadro pequeño alrededor del glande. Un electrodo o anillo se rastrea\naún mejor que la piel sola.
Easy	Fácil
Edging	Al borde
Erect	Erecto
Erect (Needs Calibration)	Erecto (Necesita calibración)
Expert	Experto
Fast	Rápido
Fastest	Rapidísimo
Flaccid	Flácido
Full	Completo
GitHub (latest release)	GitHub (última versión)
Hard	Difícil
Hold s	Mantén s
Keep it visible and not minimised	Mantenla visible y sin minimizar
Ko-fi (support)	Ko-fi (apoyo)
Language	Idioma
Lock by look (experimental)	Bloqueo por aspecto (experimental)
Lower = faster on slow PCs. Downscales the frame before tracking, not the video you watch. If your FPS is low, try Fast or Fastest.	Más bajo = más rápido en PCs lentos. Reduce la escala del fotograma antes del seguimiento, no la del vídeo que ves. Si tus FPS son bajos, prueba Rápido o Rapidísimo.
Middle	Medio
OBS, webcam app, browser stream — anything showing your cock in a window.\nIt does NOT need to be full-screen.	OBS, app de webcam, stream del navegador — cualquier cosa que muestre tu polla en una ventana.\nNO hace falta que esté a pantalla completa.
Open your camera feed	Abre tu señal de cámara
Performance	Rendimiento
Ramp %/s	Subida %/s
Recover %/s	Recuperación %/s
Settings...	Ajustes...
The app will ask you to draw a box around that window.\nBring it to the front before hitting Start.	La app te pedirá que dibujes un recuadro alrededor de esa ventana.\nTráela al frente antes de pulsar Iniciar.
Track: LOST	Seguimiento: PERDIDO
Track: OK	Seguimiento: OK
Tracking engine	Motor de seguimiento
Tracking resolution	Resolución de seguimiento
Tracks by colour/darkness instead of the tracker. Only worth it with a genuinely distinct marker — a matte lime / teal / hot-pink sticker. It can't tell a red/yellow/black target from skin. Off = normal tracking.	Rastrea por color/oscuridad en vez de usar el rastreador. Solo merece la pena con un marcador realmente distintivo — una pegatina mate en verde lima / verde azulado / rosa chillón. No distingue un objetivo rojo/amarillo/negro de la piel. Desactivado = seguimiento normal.
You'll mark the tip of your cock	Marcarás la punta de tu polla
ceil	techo
floor	suelo
⊞🔊 windows	⊞🔊 Windows
♥ HR	♥ Pulso
