en	pt
🎙 Voice Commands	🎙 Comandos de voz
🎙 {} {}  ({}px)	🎙 {} {}  ({}px)
🎧 21 tracks to edge to ↗	🎧 21 faixas para edging ↗
👿 VisualStimEdger [EVIL MODE]	👿 VisualStimEdger [MODO MALVADO]
💡 Press AUTO to calibrate height lines	💡 Aperte AUTO para calibrar as linhas de altura
📁 Load File	📁 Carregar arquivo
📂 Load Folder	📂 Carregar pasta
📷 AUTO	📷 AUTO
📷 AUTO  (flaccid set, need more range)	📷 AUTO  (flácido definido, precisa de mais amplitude)
📷 AUTO  (observing...)	📷 AUTO  (observando...)
📷 AUTO  (off)	📷 AUTO  (desligado)
📷 AUTO  ✓	📷 AUTO  ✓
🔁 Active Edging (auto-ramp)	🔁 Edging Ativo (subida automática)
🔁 Active Edging off	🔁 Edging Ativo desligado
🔁 Active Edging on — ramps up after {}s off the edge ({})	🔁 Edging Ativo ligado — sobe após {}s longe da beira ({})
🔒 Lock on target (no auto-reanchor)	🔒 Travar no alvo (sem reancoragem automática)
🔒 Locked on target — won't auto-reanchor	🔒 Travado no alvo — não vai reancorar sozinho
🔓 Auto-reanchor back on	🔓 Reancoragem automática religada
😈 Ruin Odds (% chance when denied, Evil Mode only)	😈 Chance de ruína (% quando negado, só no Modo Malvado)
😈 tribute your dom before you're allowed → ☕	😈 faça um tributo ao seu dom antes de ter permissão → ☕
🛑 SAFEWORD	🛑 PALAVRA DE SEGURANÇA
🛑 SAFEWORD — say "resume session" or click ▶ RESUME	🛑 PALAVRA DE SEGURANÇA — diga "resume session" ou clique ▶ RETOMAR
About	Sobre
Balanced	Equilibrado
Calibrate Flaccid / Erect / Edging heights	Calibrar as alturas de Mole / Duro / Beira
Classic	Clássico
Classic = the proven tracker (default). Deep = an experimental neural tracker — more robust in clean tests, but it can balloon its box on smooth targets; still being validated. Stick with Classic for now.	Clássico = o rastreador comprovado (padrão). Profundo = um rastreador neural experimental — mais robusto em testes limpos, mas pode inchar demais a caixa em alvos lisos; ainda em validação. Continue no Clássico por enquanto.
Controls volume only — does not generate e-stim signals.\nYou need Restim, xToys, electron-redrive, an .mp3, etc. already running.	Só controla o volume — não gera sinais de e-stim.\nVocê precisa do Restim, xToys, electron-redrive, um .mp3, etc. já rodando.
Deep	Profundo
Disconnected	Desconectado
Do this during your session. AUTO mode can handle it for you.\nRe-calibrate any time without restarting.	Faça isso durante a sua sessão. O modo AUTO pode cuidar disso pra você.\nRecalibre quando quiser, sem reiniciar.
Draw a small box around the head. An electrode or ring tracks\neven better than skin alone.	Desenhe uma caixinha em volta da cabeça. Um eletrodo ou anel rastreia\nainda melhor do que só a pele.
Easy	Fácil
Edging	Beira
Erect	Duro
Erect (Needs Calibration)	Duro (Precisa Calibrar)
Expert	Especialista
Fast	Rápido
Fastest	Mais Rápido
Flaccid	Mole
Full	Completo
GitHub (latest release)	GitHub (última versão)
Hard	Difícil
Hold s	Segurar s
Keep it visible and not minimised	Mantenha visível e não minimize
Ko-fi (support)	Ko-fi (apoiar)
Language	Idioma
Lock by look (experimental)	Travar por aparência (experimental)
Lower = faster on slow PCs. Downscales the frame before tracking, not the video you watch. If your FPS is low, try Fast or Fastest.	Menor = mais rápido em PCs lentos. Reduz a escala do quadro antes de rastrear, não do vídeo que você vê. Se o seu FPS estiver baixo, tente Rápido ou Mais Rápido.
Middle	Médio
OBS, webcam app, browser stream — anything showing your cock in a window.\nIt does NOT need to be full-screen.	OBS, app de webcam, stream no navegador — qualquer coisa que mostre seu pau numa janela.\nNÃO precisa estar em tela cheia.
Open your camera feed	Abra o feed da sua câmera
Performance	Desempenho
Ramp %/s	Subida %/s
Recover %/s	Recuperação %/s
Settings...	Configurações...
The app will ask you to draw a box around that window.\nBring it to the front before hitting Start.	O app vai pedir para você desenhar uma caixa em volta dessa janela.\nTraga ela para a frente antes de clicar em Iniciar.
Track: LOST	Rastreio: PERDIDO
Track: OK	Rastreio: OK
Tracking engine	Motor de rastreamento
Tracking resolution	Resolução de rastreamento
Tracks by colour/darkness instead of the tracker. Only worth it with a genuinely distinct marker — a matte lime / teal / hot-pink sticker. It can't tell a red/yellow/black target from skin. Off = normal tracking.	Rastreia por cor/escuridão em vez do rastreador. Só vale a pena com um marcador realmente distinto — um adesivo fosco verde-limão / azul-petróleo / rosa-choque. Ele não consegue distinguir um alvo vermelho/amarelo/preto da pele. Desligado = rastreamento normal.
You'll mark the tip of your cock	Você vai marcar a ponta do seu pau
ceil	teto
floor	piso
⊞🔊 windows	⊞🔊 Windows
♥ HR	♥ BPM
