en	ru
Setup steps:\n\n1. Open xtoys.app in a browser and sign in\n2. Scripts → search “VisualStimEdger” → Load Script\n3. Connections → add your toy under Generic Output\n4. Go to xtoys.app/me → Private Webhook\n5. Copy the Webhook ID → paste it into VSE\n6. Press the green ▶ to RUN the script — nothing moves until you do\n7. Keep the xToys tab open while you use VSE	Шаги настройки:\n\n1. Открой xtoys.app в браузере и войди\n2. Scripts → найди "VisualStimEdger" → Load Script\n3. Connections → добавь свою игрушку в Generic Output\n4. Перейди на xtoys.app/me → Private Webhook\n5. Скопируй Webhook ID → вставь его в VSE\n6. Нажми зелёную ▶, чтобы ЗАПУСТИТЬ скрипт — ничего не двигается, пока не нажмёшь\n7. Держи вкладку xToys открытой, пока пользуешься VSE
Sir Thorn's Private Sessions Vol. 2 — 21 MP3 tracks made for edging. Load them straight into this player. Opens Ko-fi.	Private Sessions Vol. 2 от Sir Thorn — 21 MP3-трек, сделанные для эджинга. Загрузи их прямо в этот плеер. Открывает Ko-fi.
Sir Thorn's Sunday Drive sessions as JSON stim patterns — free / pay-what-you-want. Made for electro over your audio output. Opens Ko-fi.	Сессии Sunday Drive от Sir Thorn в виде JSON-паттернов стимуляции — бесплатно / плати сколько хочешь. Сделаны для электро через твой аудиовыход. Открывает Ko-fi.
Skip voice verification	Пропустить голосовую проверку
Start Bondage Mode →	Запустить режим бондажа →
State: --  |  Vol: --  |  WS: Disconnected	Состояние: --  |  Гром.: --  |  WS: Отключено
State: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}	Состояние: {}  |  Гром.: {}  |  {}  |  {}  |  {} fps  |  {}
Step 1 — Draw a box around your video feed, then release to lock.  [Esc to cancel]	Шаг 1 — Нарисуй рамку вокруг своего видео, затем отпусти, чтобы зафиксировать.  [Esc для отмены]
Step 2: Select Cock Head	Шаг 2: Выбери головку
Stepped back — say a number or 'back' again	Шаг назад — скажи число или снова "back"
Stop YOLO from re-anchoring the tracker. Draw your box on a stable, high-contrast spot (a plug/electrode is ideal) and it stays put. Turn off to let auto-reacquire find the head again.	Не даёт YOLO заново привязывать отслеживание. Нарисуй рамку на стабильной, контрастной точке (пробка/электрод идеально) — и она останется на месте. Выключи, чтобы автоперезахват снова нашёл головку.
T-code Axis	Ось T-code
Theme: {}	Тема: {}
Time's up. Back to edging.	Время вышло. Обратно к грани.
Too slow!	Слишком медленно!
TRACKING LOST - Frozen at last position	ОТСЛЕЖИВАНИЕ ПОТЕРЯНО - Заморожено на последней позиции
TRACKING SUSPECT ({}) - Frozen	ОТСЛЕЖИВАНИЕ СОМНИТЕЛЬНО ({}) - Заморожено
Update available: v{}	Доступно обновление: v{}
VisualStimEdger	VisualStimEdger
VOL\nRANGE	ДИАПАЗОН\nГРОМ.
Vol: {}	Гром.: {}
Vol: —	Гром.: —
v{}  ·  edge smarter	v{}  ·  эджинг с умом
Wait {}s...	Подожди {}с...
Webhook ID:	Webhook ID:
When enabled, VSE automatically rolls for cum permission each time an edge is detected. 'Min edges' sets how many edges must occur first. '1 in N' is the per-edge roll chance (lower N = more likely). Uses the same grant window as a manual roll.	Когда включено, VSE автоматически бросает кости на разрешение кончить при каждом обнаруженном эдже. "Мин. эджей" задаёт, сколько эджей должно произойти сначала. "1 к N" — шанс за эдж (меньше N = вероятнее). Использует то же окно разрешения, что и ручной бросок.
Which T-code axis VSE sends volume commands on. This must match the axis your Restim session has bound to the parameter you want to control (usually 'Volume'). Check Restim's Websocket / T-code panel if you're unsure.	На какой оси T-code VSE отправляет команды громкости. Она должна совпадать с осью, которую твоя сессия Restim привязала к параметру, которым ты хочешь управлять (обычно "Volume"). Посмотри панель Websocket / T-code в Restim, если не уверен.
WS: {}	WS: {}
xToys	xToys
xToys reached the cloud but the block didn't answer — press ▶ to run the VisualStimEdger block in your xToys tab (reload it if it's an old copy, or re-check your Webhook ID).	xToys достиг облака, но блок не ответил — нажми ▶, чтобы запустить блок VisualStimEdger во вкладке xToys (перезагрузи его, если это старая копия, или перепроверь Webhook ID).
xToys Setup	Настройка xToys
xToys: block STOPPED?	xToys: блок ОСТАНОВЛЕН?
xToys: Live	xToys: В эфире
xToys: Live ({})	xToys: В эфире ({})
xToys: No ID	xToys: Нет ID
xToys: Offline	xToys: Оффлайн
xToys: paste your Webhook ID from xtoys.app/me → Private Webhook (or tap Get ID).	xToys: вставь свой Webhook ID с xtoys.app/me → Private Webhook (или нажми "Get ID").
You've been a good boy. {}:{} remaining.	Ты был хорошим мальчиком. Осталось {}:{}.
You've been a good boy.{} You have {} min.	Ты был хорошим мальчиком.{} У тебя {} мин.
You've been edging {}+ times, hands-free.	Ты уже на грани {}+ раз, без рук.
Zoom in first — say a number!	Сначала приблизь — скажи число!
{} bpm	{} уд/мин
{} edges	{} эджей
{} px	{} px
{}px	{}px
← Back	← Назад
↩ Undo (3s)	↩ Отменить (3с)
⏳ Cum window: {}s remaining — say 'came' or click Cancel	⏳ Окно для оргазма: осталось {}с — скажи "came" или нажми Отмена
▶ Play	▶ Воспроизвести
▶ RESUME SESSION	▶ ВОЗОБНОВИТЬ СЕССИЮ
☕ Tribute	☕ Дань
♥ -- bpm	♥ -- уд/мин
♥ No HR	♥ Нет пульса
♥ {} bpm	♥ {} уд/мин
⚡ Free stim patterns ↗	⚡ Бесплатные паттерны стим ↗
⚡ P.O.N.R.	⚡ ТНВ
⚡ Point of No Return — cut	⚡ Точка невозврата — обрезать
✓  HIT!	✓  ПОПАЛ!
✓ Safeword verified!	✓ Стоп-слово подтверждено!
✕ Cancel	✕ Отмена
✕ Clear	✕ Очистить
＋ Exclusion Zone	＋ Зона исключения
🍆  Grid Navigator Practice	🍆  Практика навигатора сетки
🍆 Grid Practice	🍆 Практика сетки
🎉 Nice shot!	🎉 Хороший выстрел!
🎙 BONDAGE	🎙 БОНДАЖ
🎙 Bondage active — safeword: "{}"	🎙 Бондаж активен — стоп-слово: "{}"
🎙 Bondage Mode Defaults	🎙 Значения режима бондажа по умолчанию
🎙 Bondage Mode Setup	🎙 Настройка режима бондажа
🎙 Bondage Mode — Setup	🎙 Режим бондажа — Настройка
🎙 Confirm failed — feed gone?	🎙 Подтверждение не удалось — видео пропало?
🎙 Exclude zone — say 1-9 to zoom, 'exclude'/'here' to add	🎙 Зона исключения — скажи 1-9 для зума, "exclude"/"here" чтобы добавить
🎙 Exclusion zone added ({} total) — say 'clear exclude' to remove all	🎙 Зона исключения добавлена (всего {}) — скажи "clear exclude", чтобы удалить все
🎙 Exclusion zones cleared	🎙 Зоны исключения очищены
🎙 Grid cancelled	🎙 Сетка отменена
🎙 Grid cell {} (zoom {}) — say 'here' to lock, or zoom more	🎙 Ячейка {} (зум {}) — скажи "here", чтобы зафиксировать, или зумируй ещё
🎙 Grid reset — say 1-9 to zoom	🎙 Сетка сброшена — скажи 1-9 для зума
🎙 Grid — say 1-9 to zoom, 'here' to lock	🎙 Сетка — скажи 1-9 для зума, "here" чтобы зафиксировать
🎙 Head reselected ✓	🎙 Головка выбрана заново ✓
🎙 Lines set — adjust with voice	🎙 Линии заданы — регулируй голосом
🎙 MIC	🎙 МИК
🎙 No windows found	🎙 Окна не найдены
🎙 Paused (say 'resume')	🎙 Пауза (скажи "resume")
🎙 Session resumed	🎙 Сессия возобновлена
🎙 Source switch cancelled	🎙 Смена источника отменена
🎙 Source switch failed	🎙 Смена источника не удалась
🎙 Source → {}… — say 'find head' to reanchor	🎙 Источник → {}… — скажи "find head" для перепривязки
🎙 Switch Source	🎙 Сменить источник
🎙 Voice Commands	🎙 Голосовые команды
🎙 {} {}  ({}px)	🎙 {} {}  ({}px)
🎧 21 tracks to edge to ↗	🎧 21 трек для эджинга ↗
👿 VisualStimEdger [EVIL MODE]	👿 VisualStimEdger [ЗЛОЙ РЕЖИМ]
💡 Press AUTO to calibrate height lines	💡 Нажми AUTO, чтобы откалибровать линии высоты
📁 Load File	📁 Загрузить файл
📂 Load Folder	📂 Загрузить папку
📷 AUTO	📷 AUTO
📷 AUTO  (flaccid set, need more range)	📷 AUTO  (вялый задан, нужен больший диапазон)
📷 AUTO  (observing...)	📷 AUTO  (наблюдение...)
📷 AUTO  (off)	📷 AUTO  (выкл)
📷 AUTO  ✓	📷 AUTO  ✓
🔁 Active Edging (auto-ramp)	🔁 Активный эджинг (авто-рост)
🔁 Active Edging off	🔁 Активный эджинг выкл
🔁 Active Edging on — ramps up after {}s off the edge ({})	🔁 Активный эджинг вкл — рост через {}с вне грани ({})
🔒 Lock on target (no auto-reanchor)	🔒 Зафиксировать на цели (без авто-перепривязки)
🔒 Locked on target — won't auto-reanchor	🔒 Зафиксировано на цели — не будет авто-перепривязки
🔓 Auto-reanchor back on	🔓 Авто-перепривязка снова вкл
😈 Ruin Odds (% chance when denied, Evil Mode only)	😈 Шанс порчи (% при отказе, только Злой режим)
😈 tribute your dom before you're allowed → ☕	😈 принеси дань Господину, прежде чем тебе позволят → ☕
🛑 SAFEWORD	🛑 СТОП-СЛОВО
🛑 SAFEWORD — say "resume session" or click ▶ RESUME	🛑 СТОП-СЛОВО — скажи "resume session" или нажми ▶ ВОЗОБНОВИТЬ
About	О программе
Balanced	Баланс
Calibrate Flaccid / Erect / Edging heights	Калибровка высот: Вялый / Твёрдый / На грани
Classic	Классический
Classic = the proven tracker (default). Deep = an experimental neural tracker — more robust in clean tests, but it can balloon its box on smooth targets; still being validated. Stick with Classic for now.	Классический = проверенный трекер (по умолчанию). Глубокий = экспериментальный нейросетевой трекер — устойчивее в чистых тестах, но на гладких целях может раздувать рамку; всё ещё на проверке. Пока оставайся на Классическом.
Controls volume only — does not generate e-stim signals.\nYou need Restim, xToys, electron-redrive, an .mp3, etc. already running.	Управляет только громкостью — не создаёт сигналы электростимуляции.\nRestim, xToys, electron-redrive, .mp3 и т.п. уже должны быть запущены.
Deep	Глубокий
Disconnected	Отключено
Do this during your session. AUTO mode can handle it for you.\nRe-calibrate any time without restarting.	Делай это во время сессии. Режим AUTO может сделать это за тебя.\nПерекалибровать можно когда угодно, без перезапуска.
Draw a small box around the head. An electrode or ring tracks\neven better than skin alone.	Нарисуй небольшую рамку вокруг головки. Электрод или кольцо отслеживаются\nдаже лучше, чем одна кожа.
Easy	Лёгкий
Edging	На грани
Erect	Твёрдый
Erect (Needs Calibration)	Твёрдый (нужна калибровка)
Expert	Эксперт
Fast	Быстро
Fastest	Быстрее
Flaccid	Вялый
Full	Полное
GitHub (latest release)	GitHub (последняя версия)
Hard	Сложный
Hold s	Удержание с
Keep it visible and not minimised	Держи его на виду и не сворачивай
Ko-fi (support)	Ko-fi (поддержать)
Language	Язык
Lock by look (experimental)	Захват по виду (экспериментально)
Lower = faster on slow PCs. Downscales the frame before tracking, not the video you watch. If your FPS is low, try Fast or Fastest.	Ниже = быстрее на слабых ПК. Уменьшает кадр перед трекингом, а не само видео, которое ты смотришь. Если FPS низкий, попробуй «Быстро» или «Быстрее».
Middle	Средний
OBS, webcam app, browser stream — anything showing your cock in a window.\nIt does NOT need to be full-screen.	OBS, приложение веб-камеры, трансляция в браузере — что угодно, что показывает твой член в окне.\nПолный экран НЕ нужен.
Open your camera feed	Открой поток с камеры
Performance	Производительность
Ramp %/s	Нарастание %/с
Recover %/s	Восстановление %/с
Settings...	Настройки...
The app will ask you to draw a box around that window.\nBring it to the front before hitting Start.	Приложение попросит тебя обвести это окно рамкой.\nПеред нажатием «Старт» выведи его на передний план.
Track: LOST	Трекинг: ПОТЕРЯН
Track: OK	Трекинг: ОК
Tracking engine	Движок трекинга
Tracking resolution	Разрешение трекинга
Tracks by colour/darkness instead of the tracker. Only worth it with a genuinely distinct marker — a matte lime / teal / hot-pink sticker. It can't tell a red/yellow/black target from skin. Off = normal tracking.	Отслеживает по цвету/яркости, а не трекером. Есть смысл только с по-настоящему заметным маркером — матовая лаймовая / бирюзовая / ярко-розовая наклейка. Красную/жёлтую/чёрную цель он не отличит от кожи. Выкл = обычный трекинг.
You'll mark the tip of your cock	Отметишь кончик своего члена
ceil	потолок
floor	пол
⊞🔊 windows	⊞🔊 звук Windows
♥ HR	♥ Пульс
